TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CSED3;4,17;11,64;5,59;0,92;0,31;51,06;19,82;9,49;2,68;3,51;0,81;0,28;0,53;3,45;-0,42;1,55;16,46;5,59;18,30;0,34;0,66;0,59;9,51;;1.061.444,57;4,53;0,75;0,13;1.531.078.718,40
CSMG3;58,12;3,77;16,32;2,52;1,03;41,86;23,17;16,14;11,37;14,94;3,53;0,78;2,63;13,77;-1,28;1,60;15,46;6,31;7,72;0,41;0,59;0,39;9,29;10,67;202.373.366,76;23,06;3,56;-5,90;22.206.779.229,60
CSNA3;4,35;;-2,89;0,45;0,06;27,83;9,49;-4,49;1,37;10,15;8,76;2,88;0,13;1,99;-0,08;1,11;-15,55;-2,02;3,56;0,13;0,84;0,45;8,30;;66.184.008,52;9,69;-1,51;0,12;5.874.596.185,21
CSRN3;13,60;;3,49;1,28;0,32;30,30;25,28;15,02;2,07;4,83;2,75;1,70;0,52;6,14;-0,42;1,29;36,69;9,23;19,51;0,25;0,75;0,61;8,29;13,77;;10,63;3,90;0,72;2.273.440.192,00
CSRN5;15,10;;3,87;1,42;0,36;30,30;25,28;15,02;2,30;4,83;2,75;1,70;0,58;6,82;-0,47;1,29;36,69;9,23;19,51;0,25;0,75;0,61;8,29;13,77;;10,63;3,90;0,80;2.273.440.192,00
CSRN6;15,50;;3,97;1,46;0,37;30,30;25,28;15,02;2,36;4,83;2,75;1,70;0,60;7,00;-0,48;1,29;36,69;9,23;19,51;0,25;0,75;0,61;8,29;13,77;;10,63;3,90;0,82;2.273.440.192,00
CSUD3;13,86;16,98;5,69;1,21;0,70;41,38;16,62;15,90;5,45;5,99;0,50;0,11;0,91;11,75;-1,05;1,22;21,28;12,27;14,80;0,58;0,42;0,77;6,42;16,81;579.986,57;11,44;2,43;0,50;583.946.000,00
CTAX3;1,95;;-0,92;0,17;0,01;23,00;13,93;-3,70;0,24;2,83;2,59;1,83;0,03;-0,06;-0,02;0,37;-18,75;-1,50;21,25;0,08;0,92;0,41;-13,90;;8.847,63;11,28;-2,12;0,01;15.625.350,00
CTCA3;0,00;;0,00;0,00;0,00;66,80;36,23;46,00;0,00;-2,73;-2,73;-0,36;0,00;0,00;0,00;4,33;16,82;12,59;6,69;0,75;0,25;0,27;6,85;14,84;;4,01;0,67;0,00;0,00
CTKA3;44,00;;4,44;3,41;0,37;45,30;10,85;8,06;3,30;6,99;4,13;4,27;0,36;1,14;-1,10;1,96;76,83;8,35;13,16;0,11;0,89;1,04;14,83;-5,24;0,00;12,91;9,92;-0,09;236.439.819,00
CTKA4;33,00;;3,33;2,56;0,28;45,30;10,85;8,06;2,47;6,99;4,13;4,27;0,27;0,86;-0,82;1,96;76,83;8,35;13,16;0,11;0,89;1,04;14,83;-5,24;28.600,76;12,91;9,92;-0,07;236.439.819,00
CTNM3;7,13;;-0,52;-0,24;0,07;-6,90;-109,23;-89,63;-0,43;-2,70;-2,48;;0,46;-0,13;-0,09;0,27;-47,26;-13,83;-120,86;-0,29;1,29;0,15;-24,09;;;-29,11;-13,76;0,01;113.580.609,02
CTNM4;0,86;;-0,06;-0,03;0,01;-6,90;-109,23;-89,63;-0,05;-2,70;-2,48;;0,06;-0,02;-0,01;0,27;-47,26;-13,83;-120,86;-0,29;1,29;0,15;-24,09;;;-29,11;-13,76;0,00;113.580.609,02
CTSA3;2,00;;-0,09;0,14;0,02;-143,89;-304,16;-453,89;-0,13;-2,31;-2,18;2,38;0,39;-0,05;-0,02;0,28;-162,82;-23,97;-34,34;0,15;0,85;0,05;-40,11;;0,00;14,25;-23,20;0,00;13.912.390,00
CTSA4;1,29;;-0,06;0,09;0,01;-143,89;-304,16;-453,89;-0,08;-2,31;-2,18;2,38;0,25;-0,03;-0,02;0,28;-162,82;-23,97;-34,34;0,15;0,85;0,05;-40,11;;0,00;14,25;-23,20;0,00;13.912.390,00
CTSA8;0,00;;0,00;0,00;0,00;-143,89;-304,16;-453,89;0,00;-2,31;-2,18;2,38;0,00;0,00;0,00;0,28;-162,82;-23,97;-34,34;0,15;0,85;0,05;-40,11;;;14,25;-23,20;0,00;13.912.390,00
CURY3;31,60;13,32;9,15;6,31;1,57;39,71;24,02;18,37;7,00;6,73;-0,29;-0,26;1,68;5,45;-3,89;1,94;68,95;17,19;38,33;0,25;0,69;0,94;36,37;45,95;99.670.828,19;5,01;3,46;0,19;9.774.350.157,62
CVCB3;1,37;;-6,85;1,81;0,19;97,66;17,49;-7,10;2,78;3,74;0,89;0,58;0,49;-0,95;-0,43;0,73;-26,34;-2,84;20,54;0,11;0,89;0,40;18,96;;21.899.936,81;0,76;-0,20;-0,18;741.083.446,77
CXSE3;18,52;7,30;12,64;4,03;3,72;;;;11,69;11,43;-0,23;-0,08;;56,71;-4,33;1,86;31,89;29,42;30,17;0,92;0,08;0,00;;19,94;131.315.659,43;4,59;1,46;1,16;55.350.000.000,00
